,ID,Company,Short_Description,Detailed_Description,Submit_Date,Service_Type
0,INC000000126167,Белый ветер,проблемы с векторами в контакт центр,проблемы с векторами в контакт центрконтакт роман,1389182615,2.0
1,INC000000126180,БиТиСолюшн, , ' ' | | | | ,1389254127,2.0
2,INC000000126182,Сколково-менеджмент,не отправляются письма,при отправки писем у пользователя приходит следующая отбивка ,1389259326,1.0
3,INC000000126184,СОГАЗ, не отвечает на запросы ,коллеги добрый день не отвечает на запросы входящие вызовы распределяются на всех операторов прошу устранить проблему и сообщить о причинах недоступности с уважением гущин александрглавный специалист управление проектирования корпоративной информационной системы оао согаз тел вн ,1389262673,2.0
4,INC000000126194,Альянс СК,томск нет доступа,в томске нет доступа к ресурсам центрального офиса контактные данные денис панов,1389329913,2.0
6,INC000000126197,Сколково-менеджмент,в кратчайшие сроки восстановить резервную базу данн ,добрый день коллеги прошу вас в кратчайшие сроки восстановить резервную базу данных от исходная бд сервер бд восстановленная бд сервер бд ,1389337753,5.0
7,INC000000126198,Сколково-менеджмент,впорос срочный нужно дать разрешение для рассылки ,привет всем к моему аккаунту подключены ящики и я отправляю письма всему сколково без проблем но отправить приглашение на встречу всем сотрудникам не могу пишут нет разрешения решить проблему нужно сегодня до с до я буду на встрече но насколько я понимаю мое присутствие на успешность результата не повлияет также это необходимо сделать и наташе бурковой она будет завтра спасибо женя,1389347006,5.0
8,INC000000126210,Альянс СК,нет доступа к внутренним ресурсам компании индикато ,контактное лицо онуфриев глеб георгиевич		тел 		моб 		факс 		 	 	описание проблемы и оборудованиянет доступа к внутренним ресурсам компании индикатор красный название устройства модель 		 обязательно при заявке на ремонт оборудования серийный номер ,1389596941,2.0
9,INC000000126211,МОРГАН ЭНД СТАУТ, ,коллеги у нас проблема с двух часовыми записями появилась не только в но и необходимо срочно исправить,1389598876,2.0
10,INC000000126221,Сколково-менеджмент,не открываются файлы из писем,при работе из броузера на андроид устройстве телефон планшет две проблемы 	при входе на сайт ругается на сертификат 	не скачиваются приложения из писем загрузка бесконечно виснет раньше работало нормальнопроверено на нескольких устройствах везде одинаково в сети ,1389619374,1.0
11,INC000000126228,Сколково-менеджмент,пропал интернет канал,коллеги доброе утро после внепланового отключения эл питания более мин на центральном посту охраны тел пропал интернет канал перезагрузка компьютера результата не дала так же результатов не дали настройки сети получает компа с мас телефона прошу срочно принять меры т к нет возможности обрабатывать заявки на пропуска от арендаторов ,1389684316,2.0
12,INC000000126231,Билайн,проблема с платами на и ,платы на и в состоянии перезагрузка платы из командной строки и физическое передергивание не помогают на плату поменяли проблема не повторялась из аварийной заявки демонтированная плата монтированная плата на платы на замену нет | ,1389686475,2.0
13,INC000000126232,Ресо-Гарантия,проблема с доступом к ресурсам ,добрый день возникла трабла в филиале установлен едж за ним сетка \ подключены к нам по каналу ранее в интеренет ходили через наш прокси сервер сейчас хотим пустить без прокси настроил правила доступа на скриншоте но доступа по порту в инет нет но по трекеру видно что трафик проходит снял на скирншоте командой внешний интерфейс в инет едж сайт видим что трафик ходит второй командой смотри на порту к которму подключены линки в том числе и наш едж там трафик идет только в одно сторону разобраться не могу дело в маршрутизации между портами или правила ,1389687139,1.0
14,INC000000126240,Альянс СК,не работает в уфе,не работает в башкиркостан ' индикатор оранжевым циску перезапускал в забиксе не отображаеться,1389763791,2.0
15,INC000000126254,Альянс СК,заявка на оказание сервисных услуг,где то полторы недели до нового года и по сей день во всем филиале наблюдаются разрывы в интернете общался с вашими специалистами они говорят что у нас проблемы с интернетом и нашим оборудованием связался с ребятами которые обслуживают наше оборудование говорят что у вас проблемы и у них с оборудованием все нормально в общем надо как то решать проблему потому что элементарно по раз приходится вводить пароль от почты когда звоним на гл нам отвечают что учетка не заблокирована контактное лицо георгишан никита михайлович	тел 		моб ,1389778693,1.0
16,INC000000126256,Альянс СК,наблюдаются проблемы с доступом,не доступны сервера и из локальной сети липецкого филиала не разрешаются имена в адреса контактное лицо потапов александр	моб 		 	,1389782620,2.0
17,INC000000126267,Сколково-менеджмент,срочный вопрос ,добрый день срочный вопрос необходимо понять на какую циску приходит мак что на этом порту и почему не проходит авторизация на сервере девайса находиться в резервации пробовали прописать статикой результат тот же повторю вопрос срочный ,1389860923,1.0
18,INC000000126276,Билайн,не работает на маршрутизаторе , [ ] ' < >' ,1389872410,2.0
19,INC000000126277,Бурда Издательский дом,проблема с ,после переключения свичей в из и обратно пропали некоторые ы с принтерами не работает ,1389875306,2.0
