,Text,Label
5470,организация связности между сетями  необходимо обеспечить связность между подсетью проберов сибирского филиала мегафон и подсетью м скартел сейчас на префикс со стороны мегафон в новосибе принимается и передается по в сторону  и необходимо импортировать маршрут из в таблицу маршрутизации в котором живет ,5
724,диме лопаткину  не работает интернет,2
4576,доступ к  просим дать доступ для учетки и непосредственно доступ к серверу нужна учетка для чтения всех таблиц и создания процедур ,3
3218,апгрейд на  для обновления версии на прошу предоставить файл       тип стандартного изменения обновление по на коммутаторе маршрутизаторе,3
6557,  нужно на получить все отчеты из например из интернета что скачали и типы файлов сколько трафика использовали какие сайты входили и т д и т п ,1
2975,скорректировать распределение по стратегиям  добрый день подсистема приоритет средний прошу с текущего момента скорректировать перенаправление вызовов по стратегиям пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер заранее благодарю с уважением георгий чудаевруководитель единого контакт центраао согаз тел внутр факс единый контакт центр ,3
7483,почтабанк р а  добрый день просьба предоставить версии и уточнить минимальные совместимые с ней версии и для сервера р а расположен на варшавское ш стр цод стек м почтабанк контакт сергей кузаев пожалуйста ставьте в копию переписки ,1
6525,отчёт по непринятым звонкам  добрый день приоритет среднийподсистема прошу прислать по каким стратегиям и по каким условиям записывается информация по звонкам неотвеченным и ждущим более определённого времени не смогли найти звонок с номера который пришёл на рп и не был отвечен по словам клиента и по данным просьба ответить почему вызова нет в отчёте ,1
2971,просьба принять в работу  получили сообщение от провайдера настоящим уведомляем вас о том что для корректной работы услуги доступа в интернет до февраля года необходимо на своем оборудовании изменить настройки серверов на указанные ниже просим принять в работу ,3
7240,резервное копирование   резервное копирование ,1
6743,схд сх консультация   модель ,1
2044,обновление на  добрый день у меня есть задача обновить на наших необходима последняя возможная версия для этого железа которая как минимум повторяла бы существующий набор фич и добавляла фичи должна влазить в наш и ниже ттх железки спасибо тип стандартного изменения установка настройка по,3
4620,изменить конфигурацию роутера  на следующих интерфейсах изменить тип стандартного изменения смена ограничения по на оборудовании ,3
