,Text,Label
0,проблемы с векторами в контакт центр проблемы с векторами в контакт центрконтакт роман,2.0
2,не отправляются письма при отправки писем у пользователя приходит следующая отбивка ,1.0
3, не отвечает на запросы  коллеги добрый день не отвечает на запросы входящие вызовы распределяются на всех операторов прошу устранить проблему и сообщить о причинах недоступности с уважением гущин александрглавный специалист управление проектирования корпоративной информационной системы оао согаз тел вн ,2.0
4,томск нет доступа в томске нет доступа к ресурсам центрального офиса контактные данные денис панов,2.0
5,в кратчайшие сроки восстановить резервную базу данн  добрый день коллеги прошу вас в кратчайшие сроки восстановить резервную базу данных от исходная бд сервер бд восстановленная бд сервер бд ,5.0
6,впорос срочный нужно дать разрешение для рассылки  привет всем к моему аккаунту подключены ящики и я отправляю письма всему сколково без проблем но отправить приглашение на встречу всем сотрудникам не могу пишут нет разрешения решить проблему нужно сегодня до с до я буду на встрече но насколько я понимаю мое присутствие на успешность результата не повлияет также это необходимо сделать и наташе бурковой она будет завтра спасибо женя,5.0
7,нет доступа к внутренним ресурсам компании индикато  контактное лицо онуфриев глеб георгиевичтел моб факс   описание проблемы и оборудованиянет доступа к внутренним ресурсам компании индикатор красный название устройства модель  обязательно при заявке на ремонт оборудования серийный номер ,2.0
8,  коллеги у нас проблема с двух часовыми записями появилась не только в но и необходимо срочно исправить,2.0
9,не открываются файлы из писем при работе из броузера на андроид устройстве телефон планшет две проблемы при входе на сайт ругается на сертификат не скачиваются приложения из писем загрузка бесконечно виснет раньше работало нормальнопроверено на нескольких устройствах везде одинаково в сети ,1.0
10,пропал интернет канал коллеги доброе утро после внепланового отключения эл питания более мин на центральном посту охраны тел пропал интернет канал перезагрузка компьютера результата не дала так же результатов не дали настройки сети получает компа с мас телефона прошу срочно принять меры т к нет возможности обрабатывать заявки на пропуска от арендаторов ,2.0
11,проблема с платами на и  платы на и в состоянии перезагрузка платы из командной строки и физическое передергивание не помогают на плату поменяли проблема не повторялась из аварийной заявки демонтированная плата монтированная плата на платы на замену нет  ,2.0
12,проблема с доступом к ресурсам  добрый день возникла трабла в филиале установлен едж за ним сетка  подключены к нам по каналу ранее в интеренет ходили через наш прокси сервер сейчас хотим пустить без прокси настроил правила доступа на скриншоте но доступа по порту в инет нет но по трекеру видно что трафик проходит снял на скирншоте командой внешний интерфейс в инет едж сайт видим что трафик ходит второй командой смотри на порту к которму подключены линки в том числе и наш едж там трафик идет только в одно сторону разобраться не могу дело в маршрутизации между портами или правила ,1.0
13,не работает в уфе не работает в башкиркостан  индикатор оранжевым циску перезапускал в забиксе не отображаеться,2.0
14,заявка на оказание сервисных услуг где то полторы недели до нового года и по сей день во всем филиале наблюдаются разрывы в интернете общался с вашими специалистами они говорят что у нас проблемы с интернетом и нашим оборудованием связался с ребятами которые обслуживают наше оборудование говорят что у вас проблемы и у них с оборудованием все нормально в общем надо как то решать проблему потому что элементарно по раз приходится вводить пароль от почты когда звоним на гл нам отвечают что учетка не заблокирована контактное лицо георгишан никита михайловичтел моб ,1.0
15,наблюдаются проблемы с доступом не доступны сервера и из локальной сети липецкого филиала не разрешаются имена в адреса контактное лицо потапов александрмоб  ,2.0
16,срочный вопрос  добрый день срочный вопрос необходимо понять на какую циску приходит мак что на этом порту и почему не проходит авторизация на сервере девайса находиться в резервации пробовали прописать статикой результат тот же повторю вопрос срочный ,1.0
17,не работает на маршрутизаторе        ,2.0
18,проблема с  после переключения свичей в из и обратно пропали некоторые ы с принтерами не работает ,2.0
19,проблемы с лайнкартой на  добрый день у нас была с а вы прислали с дело в том что все у нас с то есть версия у нас поэтому пробовали ставить старую с новым ошибка есть новую со старым ошибка естьновую с новым ошибка естьсейчас в стоят две карты в конфигурации новая с новым первый слот старая со старым третий слот ошибка есть в первом и третьем слотах ,2.0
20,два туннеля  добрый день у нас не работают два туннеля с иваново и каширой прошу проверить спасибо с уважениемвалерий гарейшин маташова ирина рашидовна горячая линия ск альянс леднев иван вячеславович иваново не могу войти в программы да обращалась он сказал что все оборудование исправно с уважением ирина маташова ткачев александр викторович горячая линия ск альянс маташова ирина рашидовна иваново не могу войти в программы добрый день уточните к местному ит специалисту обращались с уважением ткачев александрспециалист отдела обработки обращений пользователей филиал оао ск альянс сервисный центр альянс г воронеж пр т московский д тел доб тел доб маташова ирина рашидовна горячая линия ск альянс леднев иван вячеславович иваново не могу войти в программы добрый день коллеги я не могу войти в экд в эхд и кис с другого компьютера прошу срочно восстановить доступ к этим программам спасибо  с уважением маташова ирина рашидовна руководитель направления урегулированияубытков администратор ивановского филиала оао ск альянс г иваново пр т шереметьевский д тел доб факс ,2.0
21,  проблема с вентилятором роутера название устройства модель серийный номер ,2.0
22,не аботает исходящаа связь при попытке позвонить на междугородний номер набираем код доступа и ничего не происходит,2.0
23,почта  коллеги на адрес не доходят письма скажите можно ли устранить эту проблему ,2.0
24,нет входа агентом в  сбой подключения агента в пишет что гарнитура не подключена ,2.0
25,нет входа агентом в  сбой подключения агента в пишет что гарнитура не подключена ,2.0
26,наблюдается снижение скорости доступа к ит сервисам добрый день в филиале альянса в г чебоксары наблюдается снижение скорости доступа к ит сервисам подробности во вложении приоритет высокий ,2.0
27,почта  не приходит письма на адрес ,2.0
28,в г брянск нет связи с цо  добрый день в филиале альянса в г брянск нет связи с цо подробности во вложении приоритет высокий ,2.0
29, в видно записи внешних разговоров только на н  коллеги добрый день на запись были поставлены телефоны добавлялись в один из рекордеров т к второй не работал номера попадают в диапазон на закладке настроек в разделе интеграция номера присутствуют в правилах записи добавлены в фильтры для отображения в пользовательском интерфейсе настройки на выполнены корректно в видно записи внешних разговоров только на номере в чем может быть проблема ,1.0
30,не работает передача прикрепленной информации по зв  не работает передача прикрепленной информации по звонку с нет записей в системе с прошу устранить проблему по возможности восстановить записи за период и принять меры к тому чтобы подобная ситуация не повторялась и сообщить о принятых мерах ,2.0
31,вышла из строя карта на узле  вышла из строя карта на узле в слоте карты по видимому нужна замена ,2.0
32,почта  про получении писем от этого адресата отправителем писем иногда фигурирует роман дильман так же на почту не доходят письма извне ,2.0
33,вход в пдс не удается ни через монитор ни через вход в обе пдс недоступна основная система обзвона пишет хотя оба сервера пингуются и подключение через терминал удается ,2.0
34,через браузер не работает почта из вне  пишет следующее ,2.0
35,в мурманском филиале проблема с подключением к цо заявка на оказание сервисных услуггород мурманск контактная информацияназвание организации оао ск альянс сервисный договор от марта г контактное лицо дмитрийтел моб факс   описание проблемы и оборудованияназвание устройства модель с  обязательно при заявке на ремонт оборудования серийный номер  обязательно при заявке на ремонт оборудования место расположение ул ленина ,2.0
36,не работает номер  добрый день прошу подсказать нет ли проблем в атс с транком от мтт номер ,2.0
37,не возможно зайти в на одном рабочем месте на рабочем месте не возможно войти в выдается ошибка телефонии   как обычно бывает когда пытаешься зарегистрироваться на телефон по которому в данный момент говорят рабочее место было настроено и со стороны и со стороны ранее работало на данный момент телефон зарегистрирован в на него можно позвонить с него можно позвонить несколько раз перезагружал телефон это тоже не помогло все остальные рабочие места работают как можно разрешить данную ситуацию ,2.0
38,не хватает места на  нет места на и потой причине сервер не рабоатет ,2.0
39,при совершении исходящего вызова когда клиент подни  при совершении исходящего вызова когда клиент поднимает трубку то слышит гудки как на дозвоне ,2.0
